"","holothuria_nucdivs","holothuria_hapdivs"
"Northwest Hawaiian Islands",0.0086355718125945,0.853841901603096
"Main Hawaiian Islands",0.00566385828159675,0.840143003064351
"Line Islands",0.0155157687072581,0.857808857808858
"Johnston",0.0131442080378251,0.812307692307692
"Micronesia",0.011960981288669,0.806324110671937
"Japan",0.0102084676552762,0.787526427061311
"Indonesia",0.00928954613964441,0.761226252158895
"Australia",0.0042983021706426,0.618181818181818
