"Australia","Indonesia","Japan","Johnston","Line Islands","Main Hawaiian Islands","Micronesia","Northwest Hawaiian Islands"
NA,0.142,0.23,0.001,0.004,0.001,0.013,0.001
0.0410836495389786,NA,0.344,0.001,0.001,0.001,0.001,0.001
0.00286967390736512,-0.000621786299387262,NA,0.001,0.001,0.001,0.004,0.001
0.674169761596486,0.599269357072937,0.570983042922406,NA,0.002,0.001,0.001,0.091
0.285200998212682,0.226133916675903,0.187729368371878,0.211571762854563,NA,0.001,0.519,0.001
0.897125602565508,0.66923196174987,0.742548588501989,0.184777765510533,0.288072390216872,NA,0.001,0.001
0.297413683183197,0.178068608351059,0.163550382817487,0.273580575355949,-0.0152386980529637,0.505594568992701,NA,0.001
0.800699894972748,0.639651085682989,0.686918372000391,0.0233242985406225,0.284415373273284,0.155336801794242,0.417898121205057,NA
